Brand,Phases,Model,Meter code,DSMR main version,DSMR version,WAN communication,P1 telegram header,brand code (calculated),Seen on Enexis,Seen on Liander,Seen on Stedin,Seen on Stedin Zeeland (fka Enduris),Seen on Rendo,Seen on Coteq,Seen on Westland Infra,manual,
Actaris,1,"ACE4000, GSMM",KA2Z,,,,,,,,,,,,,https://www.netbeheernederland.nl/_contentediting/files/files/Actaris-1-fase-type-GSMM.pdf,
Actaris,3,"ACE4000, GTMM",ZABC,,,,,,,,,,,,,https://www.netbeheernederland.nl/_contentediting/files/files/Actaris-3-fase-type-GTMM.pdf,
Actaris,3,"ACE4000, GTMM",Z8BC,,,,,,,,,,,,,https://www.netbeheernederland.nl/_contentediting/files/files/Actaris-3-fase-type-GTMM.pdf,
Itron,1,ACE 4000 SP Mk3 (GSMM/GSS),KA2Z,,,,,,,,,,,,,,
Itron,1,ACE4000 SP Mk3 (GSMM/GSS),KA6V,,,,,,,,,,,,,,
Itron,1,ACE431P2,KA6W,,,,,,,,,,,,,,
Itron,3,ACE 4000 PP Mk3 (GTMM/GTS),ZABG,,,,,,,,,,,,,,
Itron,3,ACE433P2,ZABH,,,,,,,,,,,,,,
Iskra,1,AM550-ED1,E0033,5,5.0,GPRS,,,,TRUE,,TRUE,,,TRUE,https://www.westlandinfra.nl/application/files/3316/5294/6891/ISKRA-SMR-5.0-AM550-ED1.pdf,
Iskra,1,AM550-ED1.01,E0043,5,5.0,,,,,,TRUE,,,,,https://www.stedin.net/-/media/feature/handleidingzoeken/handleidingen/handleiding-slimme-meter-e-iskra-smr-50-am550-ed1-cdma.pdf,
Iskra,1,AM550-ED1.04,E0053,5,5.0,CDMA,,,,,,,,,,,
Iskra,3,AM550-TD2 GPRS,E0034,5,5.0,GPRS,/ISK5\,ISK,,TRUE,TRUE,,,,TRUE,https://www.westlandinfra.nl/application/files/3016/5279/4169/ISKRA-SMR-5.0-AM550-TD2.pdf,
Iskra,3,AM550-TD2 CDMA,E0034,5,5.0,CDMA,,,,TRUE,,,,,,https://www.liander.nl/sites/default/files/meters/Liander-ISKRA-ELEK_AM550-TD2_driefasen_CDMA_v1_2.pdf,
Iskra,3,AM550-TD2.01,E0044,5,5.0,,,,,TRUE,,,,,,,
Iskra,3,AM550-TD2.02,E0050,5,5.0,,,,,,,TRUE,,,,,
Iskra,3,AM550-TD2.04,E0054,5,5.0,,,,,,,,,,,,
Iskra,1,ME382-D1A52 (GSM/GPRS),KA6G,2,2.2,GPRS,,,TRUE,,,,,,,,
Iskra,1,ME382-D1A52 (GSM/GPRS),KAL6,2,2.2,GPRS,,,,,,,,,,,
Iskra,1,ME382-D1A52 (GSM/GPRS),KA6P,2,2.2,GPRS,/ISk5\,ISk,TRUE,,,TRUE,,,,https://www.enexis.nl/-/media/files/handleidingen/iskra_ka6_en_zbbd_code_2018-8086.pdf,
Iskra,1,ME382-D1A52 (GSM/GPRS),KAL7,2,2.2,GPRS,,,,,,,,,,,
Iskra,1,ME382-D1A52 (GSM/GPRS),KA6Q,2,2.2,GPRS,/ISk5\,ISk,TRUE,,,TRUE,,,,https://www.enexis.nl/-/media/files/handleidingen/iskra_ka6_en_zbbd_code_2018-8086.pdf,
Iskra,1,ME382-D1A52 (GSM/GPRS),KAL8,2,2.2,GPRS,,,,,,,,,,,
Iskra,1,ME382-D1A52 (GSM/GPRS),KA6R,2,2.2,GPRS,/ISk5\,ISk,TRUE,,,TRUE,,,,https://www.enexis.nl/-/media/files/handleidingen/iskra_ka6_en_zbbd_code_2018-8086.pdf,
Iskra,1,ME382-D1A52 (GSM/GPRS),KAL9,2,2.2,GPRS,,,,,,,,,,,
Iskra,1,ME382-D1A52 (PLC),KA6X,2,2.2,PLC,,,,,,,,,,,
Iskra,3,MT382-D1A52 (GSM/GPRS),ZBGB,2,2.2,GPRS,,,,,,,,,,,
Iskra,3,MT382-D1A52 (GSM/GPRS),ZBBJ,2,2.2,GPRS,/ISk5\,ISk,,,,,,,,,
Iskra,3,MT382-D1A22 (GSM/GPRS),ZBGC,2,2.2,GPRS,,,,,,,,,,,
Iskra,3,MT382-D1A22 (GSM/GPRS),ZBBK,2,2.2,GPRS,/ISk5\,ISk,,,,,,,,,
Iskra,3,MT382-D1A42 (GSM/GPRS),ZBGD,2,2.2,GPRS,,,,,,,,,,,
Iskra,3,MT382-D1A42 (GSM/GPRS),ZBD9,2,2.2,GPRS,/ISk5\,ISk,,,,,,,,,
Iskra,3,MT382-D1A42 (GSM/GPRS),ZBGE,2,2.2,GPRS,,,,,,,,,,,
Iskra,3,MT382-D1A42 (GSM/GPRS),ZBEU,2,2.2,GPRS,/ISk5\,ISk,,,,,,,,,
Iskra,3,MT382-D2A52 (GSM/GPRS),ZBBD,2,2.2,GPRS,,,TRUE,,,,,,,https://www.enexis.nl/-/media/files/handleidingen/iskra_ka6_en_zbbd_code_2018-8086.pdf ,
Iskra,3,MT382-D2A52 (GSM/GPRS),ZBEV,2,2.2,GPRS,/ISk5\,ISk,,,,,,,,,
Iskra,3,MT382-D2A42 (GSM/GPRS),ZBBE,2,2.2,GPRS,,,,,,,,,,,
Iskra,3,MT382-D2A42 (GSM/GPRS),ZBEW,2,2.2,GPRS,/ISk5\,ISk,,,,,,,,,
Iskra,1,ME371-D1A52,KA6M,2,2.2,,,,TRUE,,,,,,,https://www.netbeheernederland.nl/_contentediting/files/files/Iskra-1-fase-type-ME-371.pdf,
Iskra,3,ME372-D1A52,KA6N,2,2.2,,,,TRUE,TRUE,,,,,,,
Iskra,1,MT371-D1A52,ZBEP,2,2.2,,,,,,,,,,,https://www.netbeheernederland.nl/_contentediting/files/files/Iskra-3-fase-type-ME-371.pdf,
Iskra,1,ME371-D1A52,K8EG,2,2.2,,,,,,,,,,,,
Iskra,1,MT371-D1A52,ZBES,2,2.2,,,,TRUE,,,,,,,,
Iskra,3,MT372-D1A52,ZBET,2,2.2,,,,TRUE,TRUE,,,,,,,
Kaifa,1,MA105,E0009,4,4.0 (4.0.5 / 4.0.7),GPRS,,,TRUE,,,,,,,https://www.enexis.nl/-/media/files/handleidingen/ibm_kaifa_e0025_en_e0026_code_2018-8085.pdf,
Kaifa,1,MA105A,E0027,4,4.2.2?,CDMA,/KFM5,KFM,,TRUE,,,,,,https://www.liander.nl/sites/default/files/meters/Kaifa%20105A%20V%201_3%2020201005.pdf,
